Time, R_x, R_y, R_Ori, KF_x, KF_y, KF_Ori, KF_q, KF_alpha
76.590000, 6.964553, 108.011664, 1.064514, 7.328155, 106.932188, 1.183567, 1.101090, 0.229840
76.923000, 7.155679, 106.311299, 1.066312, 7.271501, 106.592380, 1.112473, 0.392524, 0.580036
77.256000, 7.132157, 104.585929, 0.993695, 7.189267, 105.192011, 1.074408, -0.639973, 0.239952
77.589000, -0.195605, 104.892922, 0.996175, 2.558299, 104.807301, 1.158477, -1.362042, 0.374682
77.922000, -0.195605, 104.892922, 1.068566, 0.783506, 104.667341, 1.111143, -1.787324, -0.161132
78.255000, -0.195605, 104.892922, 1.140957, 0.084918, 104.654429, 1.097971, -1.886504, -0.578729
78.588000, -0.195605, 104.892922, 1.213349, -0.191457, 104.662928, 1.129765, -1.743404, -0.796912
78.921000, -0.195605, 104.892922, 2.099592, -0.298175, 104.710065, 1.755958, -1.199030, 0.275151
79.254000, -0.195605, 104.892922, 1.978867, -0.175711, 104.708798, 1.941604, -0.988041, 0.081688
79.587000, -0.195605, 104.892922, 2.206765, -0.137233, 104.746280, 2.135855, -0.883285, 0.217774
79.920000, 6.788734, 106.401053, 2.262512, 4.242704, 105.666062, 2.400672, -0.634010, 0.972391
80.253000, 6.960159, 104.708463, 1.704161, 6.089242, 104.853544, 2.023625, -1.536543, 0.282556
80.586000, 5.722345, 106.901280, 1.894389, 5.815498, 106.025442, 1.989919, -0.623845, 0.506644
80.919000, 5.845170, 105.131398, 1.560689, 5.877338, 105.350753, 1.711689, -1.202015, 0.231558
81.252000, 12.949505, 105.364325, 1.981279, 10.587924, 104.918991, 2.134383, -3.829005, 0.842285
81.585000, 5.769214, 105.953834, 1.812203, 7.728294, 105.521473, 1.825022, -1.883549, -0.013293
81.918000, 12.681008, 106.731532, 2.022548, 11.273351, 106.238481, 2.488334, -3.620790, 0.679643
82.251000, 4.594793, 107.465484, 1.176537, 7.259014, 107.071659, 1.612122, -1.109683, -0.848101
82.584000, 11.561503, 108.580761, 1.164556, 10.228644, 108.028396, 1.619329, -2.619643, -0.095805
